node1	label	node2	id
P3171	Psort_criterion	value	P3171-Psort_criterion-cd4240
P3172	datatype	external-id	P3172-datatype-1a57bf
P3172	Psort_order	asc	P3172-Psort_order-d68d3f
P3172	Psort_criterion	value	P3172-Psort_criterion-cd4240
P3173	datatype	wikibase-item	P3173-datatype-643cc9
P3173	Psort_order	asc	P3173-Psort_order-d68d3f
P3173	Psort_criterion	value	P3173-Psort_criterion-cd4240
P3174	datatype	wikibase-item	P3174-datatype-643cc9
P3174	Psort_order	asc	P3174-Psort_order-d68d3f
P3174	Psort_criterion	value	P3174-Psort_criterion-cd4240
P3175	datatype	external-id	P3175-datatype-1a57bf
P3175	Psort_order	asc	P3175-Psort_order-d68d3f
P3175	Psort_criterion	value	P3175-Psort_criterion-cd4240
P3176	datatype	wikibase-property	P3176-datatype-02bc04
P3176	Psort_order	asc	P3176-Psort_order-d68d3f
P3176	Psort_criterion	value	P3176-Psort_criterion-cd4240
P3177	datatype	external-id	P3177-datatype-1a57bf
P3177	Psort_order	asc	P3177-Psort_order-d68d3f
P3177	Psort_criterion	value	P3177-Psort_criterion-cd4240
P3178	datatype	external-id	P3178-datatype-1a57bf
P3178	Psort_order	asc	P3178-Psort_order-d68d3f
P3178	Psort_criterion	value	P3178-Psort_criterion-cd4240
P3179	datatype	wikibase-item	P3179-datatype-643cc9
P3179	Psort_order	asc	P3179-Psort_order-d68d3f
P3179	Psort_criterion	value	P3179-Psort_criterion-cd4240
P3180	datatype	external-id	P3180-datatype-1a57bf
P3180	Psort_order	asc	P3180-Psort_order-d68d3f
P3180	Psort_criterion	value	P3180-Psort_criterion-cd4240
P3181	datatype	external-id	P3181-datatype-1a57bf
P3181	Psort_order	asc	P3181-Psort_order-d68d3f
P3181	Psort_criterion	value	P3181-Psort_criterion-cd4240
P3182	datatype	external-id	P3182-datatype-1a57bf
P3182	Psort_order	asc	P3182-Psort_order-d68d3f
P3182	Psort_criterion	value	P3182-Psort_criterion-cd4240
P3183	datatype	external-id	P3183-datatype-1a57bf
P3183	Psort_order	asc	P3183-Psort_order-d68d3f
P3183	Psort_criterion	value	P3183-Psort_criterion-cd4240
P3184	datatype	external-id	P3184-datatype-1a57bf
P3184	Psort_order	asc	P3184-Psort_order-d68d3f
P3184	Psort_criterion	value	P3184-Psort_criterion-cd4240
P3185	datatype	external-id	P3185-datatype-1a57bf
P3185	Psort_order	asc	P3185-Psort_order-d68d3f
P3185	Psort_criterion	value	P3185-Psort_criterion-cd4240
P3186	datatype	external-id	P3186-datatype-1a57bf
P3186	Psort_order	asc	P3186-Psort_order-d68d3f
P3186	Psort_criterion	value	P3186-Psort_criterion-cd4240
P3187	datatype	external-id	P3187-datatype-1a57bf
P3187	Psort_order	asc	P3187-Psort_order-d68d3f
P3187	Psort_criterion	value	P3187-Psort_criterion-cd4240
P3188	datatype	external-id	P3188-datatype-1a57bf
P3188	Psort_order	asc	P3188-Psort_order-d68d3f
P3188	Psort_criterion	value	P3188-Psort_criterion-cd4240
P3189	datatype	wikibase-item	P3189-datatype-643cc9
P3189	Psort_order	asc	P3189-Psort_order-d68d3f
P3189	Psort_criterion	value	P3189-Psort_criterion-cd4240
P3190	datatype	wikibase-item	P3190-datatype-643cc9
